location,estate_name,estate_map_latitude,estate_map_longitude,transaction_price,saleable_floor_area,floor_level,transaction_price_per_sq,discount_rate,assignment_date,month,year,credit_level
"TAI PO, NORTH & SHATIN (3)",HENG ON ESTATE,22.41583,114.22905,453700,35,L,12963,75,12,9,2014,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,442100,41,L,10783,73,12,9,2014,F
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG ON ESTATE,22.35992,114.10435,539600,41,L,13161,75,12,9,2014,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,370400,32,L,11575,66,11,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,315500,33,L,9561,66,11,9,2014,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,327500,33,L,9924,72,11,9,2014,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,416400,33,L,12618,72,11,9,2014,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,550000,41,H,13415,74,11,9,2014,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,435200,36,L,12089,74,11,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,192500,35,M,5500,66,11,9,2014,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,307000,35,M,8771,66,10,9,2014,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,445100,35,L,12717,74,10,9,2014,0
"TAI PO, NORTH & SHATIN (2)",TAI WO ESTATE,22.45201,114.16259,594600,41,M,14502,74,10,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,147600,14,M,10543,72,10,9,2014,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,377500,27,L,13981,66,10,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,383200,35,L,10949,66,10,9,2014,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,367500,32,L,11484,66,10,9,2014,0
KOWLOON EAST (2),CHOI HA ESTATE,22.32603,114.21825,253300,19,L,13332,74,10,9,2014,H
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,315200,39,M,8082,66,8,9,2014,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,334100,39,L,8567,73,8,9,2014,F
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,504200,46,M,10961,66,8,9,2014,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,681900,65,M,10491,72,8,9,2014,H
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,263000,25,L,10520,73,8,9,2014,F
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,394800,35,H,11280,66,8,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,399900,35,H,11426,66,8,9,2014,0
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,776700,41,L,18944,72,8,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,155900,14,H,11136,75,8,9,2014,F
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,476400,33,M,14436,69,8,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,380700,46,L,8276,66,8,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,221400,27,M,8200,66,8,9,2014,0
"TAI PO, NORTH & SHATIN (3)",KWONG YUEN ESTATE,22.38123,114.21415,292600,25,M,11704,66,8,9,2014,0
"TAI PO, NORTH & SHATIN (2)",WAN TAU TONG ESTATE,22.44275,114.16876,557100,41,L,13588,75,8,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,201900,26,M,7765,66,8,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,228600,27,M,8467,66,8,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,391600,35,H,11189,66,8,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,243900,28,H,8711,66,5,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,603800,46,M,13126,66,5,9,2014,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,245400,32,L,7669,66,5,9,2014,F
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,399400,35,L,11411,72,5,9,2014,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,137200,14,M,9800,69,5,9,2014,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,591000,35,M,16886,66,5,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,347400,44,M,7895,66,5,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,231900,28,M,8282,66,5,9,2014,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,428300,27,M,15863,66,5,9,2014,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,575700,35,M,16449,73,5,9,2014,0
"TAI PO, NORTH & SHATIN (2)",WAN TAU TONG ESTATE,22.44275,114.16876,444700,35,L,12706,75,5,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,215000,46,L,4674,66,5,9,2014,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,218000,27,L,8074,66,5,9,2014,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,385600,35,M,11017,66,5,9,2014,F
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,488400,41,L,11912,72,5,9,2014,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,237200,28,H,8471,66,5,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,399400,41,M,9741,66,5,9,2014,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,652600,45,L,14502,66,5,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,398600,35,H,11389,66,5,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,395500,39,M,10141,66,5,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,322400,41,L,7863,66,5,9,2014,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,412600,40,L,10315,73,4,9,2014,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,229700,27,M,8507,66,4,9,2014,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,519100,46,H,11285,66,4,9,2014,F
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,326100,33,M,9882,66,4,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,185500,35,L,5300,66,4,9,2014,F
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,380100,22,L,17277,66,4,9,2014,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,385200,34,L,11329,66,4,9,2014,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,223700,26,L,8604,73,4,9,2014,F
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,226500,26,L,8712,73,4,9,2014,F
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,435800,35,H,12451,69,4,9,2014,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,542700,38,L,14282,66,4,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,226800,20,M,11340,69,4,9,2014,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,534800,35,L,15280,66,4,9,2014,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,351400,33,M,10648,72,4,9,2014,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,444900,35,H,12711,72,4,9,2014,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,415700,35,M,11877,69,4,9,2014,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,245500,25,L,9820,66,4,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,384500,35,M,10986,66,4,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,217500,28,L,7768,66,3,9,2014,0
"TAI PO, NORTH & SHATIN (2)",WAN TAU TONG ESTATE,22.44275,114.16876,559600,41,L,13649,75,3,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,288400,35,M,8240,66,3,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,427500,39,H,10962,66,3,9,2014,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,313800,41,H,7654,69,3,9,2014,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,450900,27,H,16700,66,3,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,427200,43,H,9935,66,3,9,2014,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,660500,42,M,15726,66,3,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,118900,26,L,4573,66,3,9,2014,F
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,572300,46,L,12441,74,3,9,2014,0
